"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Data is stored to memory","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\2Hooks.spec.ts","",""
"","12","Test 2","","2026-03-20","passed","2026-03-20","","configure\2hooks\1First.spec.ts","",""
"","13","Network error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\3Annotations.spec.ts","",""
"","1611","Css selectors","","2026-03-20","passed","2026-03-20","","locators\5Css.spec.ts","",""
"","1888","Selection actions","","2026-03-20","passed","2026-03-20","","actions\3CheckSelect.spec.ts","",""
"","1938","Nth element locator - buttons","","2026-03-20","passed","2026-03-20","","locators\ChildParent.spec.ts","",""
"","1515","Saving storage - data is not cleared - reject dialog","","2026-03-20","passed","2026-03-20","","actions\8Dialogs.spec.ts","",""
"","1897","Key actions","","2026-03-20","passed","2026-03-20","","actions\1Key.Spec.ts","",""
"","1136","Form is submitted with required fields - form is cleared after submit","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","1968","Get by Role - link","","2026-03-20","passed","2026-03-20","","configure\2hooks\3GetByRole.spec.ts","",""
"","1321","Parent locators","","2026-03-20","passed","2026-03-20","","locators\ChildParent.spec.ts","",""
"","3","Unknown error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\2Hooks.spec.ts","",""
"","969","Form is completed - clear button clears inputs","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","4025","Upload files","","2026-03-20","passed","2026-03-20","","actions\11Files.spec.ts","",""
"","4029","Valid Login","","2026-03-20","passed","2026-03-20","","login.spec.ts","",""
"","2","Data is loaded","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\2Hooks.spec.ts","",""
"","969","Get by text practice","","2026-03-20","passed","2026-03-20","","locators\GetByText.spec.ts","",""
"","1617","Get by Role - list","","2026-03-20","passed","2026-03-20","","locators\GetByRole.spec.ts","",""
"","1641","Handle cookies inside test","","2026-03-20","passed","2026-03-20","","actions\5Cookies.spec.ts","",""
"","9","Unknown error","","2026-03-20","passed","2026-03-20","Errors while saving data","configure\4Tags\1Tags.spec.ts","",""
"","1686","Form is completed - clear button clears memory","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","5188","Complex button test - Wrong Approach","","2026-03-20","failed","2026-03-20","","actions\ComplexButton.spec.ts","",""
"","1288","Get by test id - decline cookies","","2026-03-20","passed","2026-03-20","","locators\4GetByTestId.spec.ts","",""
"","2199","Get by Role - link","","2026-03-20","passed","2026-03-20","","locators\GetByRole.spec.ts","",""
"","1","With all fields","","2026-03-20","skipped","2026-03-20","This test block will be skipped","configure\3Describe\3Annotations.spec.ts","",""
"","1347","CSS selectors","","2026-03-20","passed","2026-03-20","","locators\Css.spec.ts","",""
"","2271","Form is submitted with required fields - form is cleared after submit","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","22","Test 2","","2026-03-20","passed","2026-03-20","","configure\1Annotations\3Only.spec.ts","",""
"","30178","Get by text practice - hidden Elements","","2026-03-20","broken","2026-03-20","","locators\GetByText.spec.ts","",""
"","720","Get by Role - link","","2026-03-20","passed","2026-03-20","","locators\1GetByRole.spec.ts","",""
